epoch,batch_size,embedding_dim,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
200,64,200,300,tanh,adam,0.1,0.001,0.5,0.9297018770702982,0.7866108786610879,0.573170731707317,0.6631393298059964,0.7759114437105025
300,64,200,300,tanh,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
200,64,200,300,tanh,adam,0.001,0.0,0.5,0.9532572690467428,0.8316831683168316,0.7682926829268293,0.7987321711568938,0.8734724193202584
300,64,200,300,tanh,adam,0.001,0.0,0.5,0.9532572690467428,0.8316831683168316,0.7682926829268293,0.7987321711568938,0.8734724193202584
200,64,200,300,tanh,adam,0.001,0.001,0.5,0.9536253220463746,0.8366666666666667,0.7652439024390244,0.7993630573248408,0.8723666142584406
300,64,200,300,tanh,adam,0.001,0.001,0.5,0.951048951048951,0.7963525835866262,0.7987804878048781,0.7975646879756468,0.8853676403026066
200,64,200,300,tanh,sgd,0.1,0.0,0.5,0.9514170040485832,0.80625,0.7865853658536586,0.7962962962962963,0.8803165422822081
300,64,200,300,tanh,sgd,0.1,0.0,0.5,0.9514170040485832,0.80625,0.7865853658536586,0.7962962962962963,0.8803165422822081
200,64,200,300,tanh,sgd,0.1,0.001,0.5,0.9503128450496872,0.8143322475570033,0.7621951219512195,0.7874015748031497,0.8691678832862
300,64,200,300,tanh,sgd,0.1,0.001,0.5,0.9359587780640412,0.6807511737089202,0.8841463414634146,0.7692307692307693,0.9136093783499576
200,64,200,300,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,relu,adam,0.001,0.0,0.5,0.95841001104159,0.8668941979522184,0.774390243902439,0.8180354267310789,0.8790327109005708
300,64,200,300,relu,adam,0.001,0.0,0.5,0.9558336400441664,0.8611111111111112,0.7560975609756098,0.8051948051948052,0.8696770768461138
200,64,200,300,relu,adam,0.001,0.001,0.5,0.9503128450496872,0.7915407854984894,0.7987804878048781,0.7951441578148709,0.8849490551205219
300,64,200,300,relu,adam,0.001,0.001,0.5,0.9503128450496872,0.7880597014925373,0.8048780487804879,0.7963800904977375,0.8875792504262422
200,64,200,300,relu,sgd,0.1,0.0,0.5,0.9521531100478468,0.809375,0.7896341463414634,0.7993827160493827,0.8820502251171528
300,64,200,300,relu,sgd,0.1,0.0,0.5,0.9506808980493192,0.8012422360248447,0.7865853658536586,0.7938461538461539,0.8798979571001235
200,64,200,300,relu,sgd,0.1,0.001,0.5,0.9466323150533676,0.7667638483965015,0.8018292682926829,0.7839046199701938,0.8841712268629592
300,64,200,300,relu,sgd,0.1,0.001,0.5,0.8807508281192492,0.5034602076124568,0.8871951219512195,0.6423841059602649,0.8835305873464763
200,64,200,300,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,300,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,300,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,300,100,tanh,adam,0.1,0.001,0.0,0.8741258741258742,0.2307692307692308,0.018292682926829267,0.03389830508474576,0.5049604896425691
300,64,300,100,tanh,adam,0.1,0.001,0.0,0.9403754140596244,0.8952380952380953,0.573170731707317,0.6988847583643123,0.7819809288507285
200,64,300,100,tanh,adam,0.001,0.0,0.0,0.958778064041222,0.8576158940397351,0.7896341463414634,0.8222222222222222,0.8858174917559138
300,64,300,100,tanh,adam,0.001,0.0,0.0,0.958778064041222,0.8552631578947368,0.7926829268292683,0.8227848101265823,0.8871325894087739
200,64,300,100,tanh,adam,0.001,0.001,0.0,0.9470003680529996,0.8087248322147651,0.7347560975609756,0.7699680511182109,0.8554483710910781
