word2vec,epoch,batch_size,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.1,0.001,0.0,0.7824351297405191,0.7464788732394366,0.7429906542056075,0.7447306791569087,0.7774186720505389
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.1,0.001,0.0,0.7864271457085829,0.7661691542288557,0.7196261682242991,0.7421686746987952,0.7779315510111042
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.1,0.001,0.0,0.7924151696606786,0.7777777777777778,0.7196261682242991,0.7475728155339806,0.7831580318473411
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.01,0.0,0.0,0.7944111776447106,0.7681159420289855,0.7429906542056075,0.7553444180522565,0.7878716337230128
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.01,0.0,0.0,0.7904191616766467,0.7558685446009391,0.7523364485981309,0.7540983606557377,0.785575889804292
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.01,0.0,0.0,0.7884231536926147,0.7547169811320755,0.7476635514018691,0.7511737089201878,0.7832394412061612
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.01,0.001,0.0,0.7904191616766467,0.7511520737327189,0.7616822429906542,0.7563805104408353,0.7867644664430624
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.01,0.001,0.0,0.7884231536926147,0.7596153846153846,0.7383177570093458,0.7488151658767772,0.7820508645673907
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.01,0.001,0.0,0.7984031936127745,0.7677725118483413,0.7570093457943925,0.7623529411764706,0.7931388192386596
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.001,0.0,0.0,0.7385229540918163,0.7371428571428571,0.6028037383177571,0.6632390745501285,0.7212624963365789
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.001,0.0,0.0,0.7465069860279441,0.7185929648241206,0.6682242990654206,0.6924939467312349,0.7365511739229542
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.001,0.0,0.0,0.7724550898203593,0.7475247524752475,0.705607476635514,0.7259615384615384,0.7639535641017291
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.001,0.001,0.0,0.7365269461077845,0.7329545454545454,0.6028037383177571,0.6615384615384615,0.7195203360578333
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.001,0.001,0.0,0.7465069860279441,0.7185929648241206,0.6682242990654206,0.6924939467312349,0.7365511739229542
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.001,0.001,0.0,0.7744510978043913,0.7512437810945274,0.705607476635514,0.727710843373494,0.7656957243804748
w2v_jawiki_d200_w12.model,200,64,100,relu,adam,0.1,0.0,0.0,0.6846307385229541,0.6573033707865169,0.5467289719626168,0.5969387755102041,0.6670927089778241
w2v_jawiki_d200_w12.model,300,64,100,relu,adam,0.1,0.0,0.0,0.688622754491018,0.6611111111111111,0.5560747663551402,0.6040609137055838,0.6717656061740858
w2v_jawiki_d200_w12.model,400,64,100,relu,adam,0.1,0.0,0.0,0.6926147704590818,0.6612903225806451,0.5747663551401869,0.615,0.6776270800091179
w2v_jawiki_d200_w12.model,200,64,100,relu,adam,0.1,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
w2v_jawiki_d200_w12.model,300,64,100,relu,adam,0.1,0.001,0.0,0.5269461077844312,0.4734411085450346,0.9579439252336448,0.6336939721792889,0.5817594190628155
w2v_jawiki_d200_w12.model,400,64,100,relu,adam,0.1,0.001,0.0,0.4351297405189621,0.4305835010060362,1.0,0.6019690576652602,0.5069686411149826
w2v_jawiki_d200_w12.model,200,64,100,relu,adam,0.01,0.0,0.0,0.7664670658682635,0.7437185929648241,0.6915887850467289,0.7167070217917676,0.7569442183073367
w2v_jawiki_d200_w12.model,300,64,100,relu,adam,0.01,0.0,0.0,0.7724550898203593,0.7525252525252525,0.6962616822429907,0.7233009708737864,0.7627649874629586
w2v_jawiki_d200_w12.model,400,64,100,relu,adam,0.01,0.0,0.0,0.7345309381237525,0.7055837563451777,0.6495327102803738,0.6763990267639902,0.7237210589729395
w2v_jawiki_d200_w12.model,200,64,100,relu,adam,0.01,0.001,0.0,0.7844311377245509,0.7704081632653061,0.705607476635514,0.7365853658536585,0.774406525774203
w2v_jawiki_d200_w12.model,300,64,100,relu,adam,0.01,0.001,0.0,0.7784431137724551,0.7845303867403315,0.6635514018691588,0.7189873417721518,0.7638314500634992
w2v_jawiki_d200_w12.model,400,64,100,relu,adam,0.01,0.001,0.0,0.7824351297405191,0.7638190954773869,0.7102803738317757,0.7360774818401937,0.7732586538148426
w2v_jawiki_d200_w12.model,200,64,100,relu,adam,0.001,0.0,0.0,0.8383233532934131,0.8341708542713567,0.7757009345794392,0.8038740920096852,0.8303591780911133
w2v_jawiki_d200_w12.model,300,64,100,relu,adam,0.001,0.0,0.0,0.8303393213572854,0.8341968911917098,0.7523364485981309,0.7911547911547911,0.8204190953792049
w2v_jawiki_d200_w12.model,400,64,100,relu,adam,0.001,0.0,0.0,0.7704590818363274,0.7512690355329951,0.6915887850467289,0.7201946472019465,0.7604285388648281
